t_f,cal_J,mu,p,dt,t_ev,a_param,beta,used_chi_continuation,used_disc_continuation,used_twisted_continuation,N_contour,file,chi_converged,chi_residual_norm,disc_converged,disc_residual_norm,twisted_converged,twisted_residual_norm
0.5,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,False,False,False,8,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_0p50.pt,True,1.53926519929517e-11,True,1.1786162530809455e-09,True,1.1786162530809455e-09
1.0,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,True,True,True,10,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_1p00.pt,True,3.1858075942926365e-10,True,2.827583431531071e-10,True,2.827583431531071e-10
1.5,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,True,True,True,12,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_1p50.pt,True,3.606705108731655e-10,True,4.165925614855964e-10,True,4.165925614855964e-10
2.0,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,True,True,True,14,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_2p00.pt,True,5.669242795710663e-10,True,7.277031955109758e-10,True,7.277031955109758e-10
2.5,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,True,True,True,16,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_2p50.pt,True,2.782189296660566e-10,True,6.980159348410471e-10,True,6.980159348410471e-10
3.0,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,True,True,True,18,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_3p00.pt,True,3.5546121674719784e-10,True,5.58976969708e-10,True,5.58976969708e-10
3.5,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,True,True,True,20,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_3p50.pt,True,5.894848170785327e-10,True,6.709084846598138e-10,True,6.709084846598138e-10
4.0,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,True,True,True,22,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_4p00.pt,True,5.89368743232123e-10,True,7.575679327653355e-10,True,7.575679327653355e-10
4.5,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,True,True,True,24,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_4p50.pt,True,3.3815849451734504e-10,True,1.1484107716841299e-09,True,1.1484107716841299e-09
5.0,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,True,True,True,26,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_5p00.pt,True,3.9025665051164835e-10,True,7.233448504249784e-10,True,7.233448504249784e-10
5.5,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,True,True,True,28,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_5p50.pt,True,6.217549916016778e-10,True,1.099588946563613e-09,True,1.099588946563613e-09
6.0,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,True,True,True,30,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_6p00.pt,True,6.734623870353281e-10,True,8.78263551256635e-10,True,8.78263551256635e-10
6.5,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,True,True,True,32,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_6p50.pt,True,6.333879438892127e-10,True,4.4896521075182396e-10,True,3.2795744909725436e-11
7.0,0.5,0.5,16,0.5,6.0,1.0,5.735546586881491,True,True,True,34,eta_two_replica_mu_0p50_p_16_dt_0p50_tev_6p00_tf_7p00.pt,True,8.198381301668952e-10,True,3.860049699887199e-10,True,1.659781881918713e-09
